geneid	Sam_11F	Sam_12F	Sam_14F	Sam_15F	Sam_1F	Sam_20F	Sam_22F	Sam_23F	Sam_24F	Sam_25F	Sam_27F	Sam_28F	Sam_29F	Sam_31F	Sam_34F	Sam_36F	Sam_38F	Sam_39F	Sam_42F	Sam_43F	Sam_44F	Sam_45F	Sam_50F	Sam_55F	Sam_7F
ATR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATRX	0.001638845	0.001788467	0.002385674	0.003413857	0.001374811	0.001760168	0.003417556	0.003424683	0.002239462	0.002045264	0.00405407	0.00207336	0.000974683	0.001621113	0.001589564	0.000182514	0.001852013	0.002722093	0.00328592	0.003339887	0.003445003	0.002161447	0.001168294	0.00152884	0.002290242
AURKA	0.000590819	0.000439787	0.000667937	0.000480045	0.000431511	0.00056973	0.00038029	0.000392724	0.000289909	0.000559983	0.000571105	0.000273232	0.000172018	0.00076605	0.000558277	4.95E-05	0.000432131	0.000500556	0.000751347	0.000356906	0.000348853	0.000582202	0.000637287	0.000499715	0.000453865
AURKB	0.001006517	0.000418486	0.00030965	0.000319952	0.000824164	0.000813722	0.000377299	0.000326475	0.000230434	0.000791673	0.000601684	0.000206404	0.000358826	0.000501219	0.0008113	0.00017981	0.000493636	0.000638383	0.000650476	0.000114445	0.000228253	0.000615647	0.000767716	0.000378609	0.000300925
AXIN1	0.001525304	0.001024885	0.001165958	0.001038273	0.002954991	0.001818298	0.001576367	0.001407794	0.00170876	0.001700952	0.001017039	0.001561909	0.001037014	0.001063293	0.001040829	0.000492708	0.001689207	0.00127115	0.000961169	0.001084125	0.001297546	0.001232522	0.000958681	0.001096411	0.001177103
AXIN2	0.009539785	0.003145534	0.000383524	0.007463084	0.009959559	0.011838273	0.00822078	0.010905207	0.013278788	0.008137197	0.008560472	0.00271223	0.005260341	0.00175258	0.004938814	0.000984726	0.009895944	0.008412414	0.006850218	0.005875528	0.006495687	0.004860352	0.002995097	0.005146794	0.000966123
AXL	0.000140634	0.000579928	0.000247086	0.000165987	0.000544681	0.00021449	0.000225681	0.000193585	0.000243611	0.000130096	0.000197987	0.000241249	0.000141272	0.000118654	0.000161433	6.85E-05	0.000236321	0.000158067	0.000191792	0.000243321	0.00017699	0.000200623	0.000117659	0.000202034	0.000224166
B2M	0.044021327	0.105480006	0.084485421	0.078952693	0.009794075	0.046390633	0.053157478	0.061937506	0.063224852	0.042111354	0.056700308	0.109006936	0.016686423	0.105355101	0.068514473	0.000915902	0.059830819	0.071640903	0.068087963	0.074503723	0.100688642	0.074276653	0.065525919	0.117447369	0.096382136
BAP1	0.001550871	0.001133763	0.001227222	0.001078881	0.001868022	0.001519372	0.001303358	0.001311337	0.001610279	0.001397092	0.001172919	0.001212788	0.00086281	0.001023023	0.00094573	0.000232812	0.001412986	0.001430742	0.00108235	0.00116891	0.001053629	0.0011385	0.001019899	0.001273469	0.001012407
BARD1	0.000380098	0.000397532	0.000293582	0.000402627	0.000612932	0.000331049	0.000301177	0.000352661	0.000261872	0.00036357	0.00050146	0.000190501	0.000197821	0.00029439	0.000428958	7.45E-05	0.000322452	0.00042751	0.000482051	0.000257584	0.000270677	0.000407337	0.000398071	0.000283768	0.000380228
BBC3	0.000312222	0.000184161	0.000134334	0.000145223	0.000983969	0.000472216	0.00033624	0.000314744	0.000379647	0.000410002	0.00021064	0.000340322	0.000367515	0.00016115	0.00018746	0.000455065	0.000377095	0.000372384	0.000200121	0.000193592	0.000236524	0.000471997	0.000135317	0.00026265	0.000221917
BCL10	0.000384905	0.000635926	0.00092778	0.000627965	0.000436873	0.000396029	0.000550697	0.000676186	0.000464862	0.00051129	0.000533957	0.000702088	0.000303124	0.00061703	0.000417561	5.23E-05	0.000476458	0.000775147	0.000662149	0.000903815	0.000617443	0.000827371	0.000417162	0.000729553	0.000919345
BCL2	0.000264844	0.000239751	0.000207718	0.000285134	0.000942804	0.000299597	0.000271241	0.000442022	0.00034176	0.000338638	0.000363533	0.000254023	0.000290153	0.000177218	0.000125753	0.000290311	0.000364663	0.000457364	0.000250539	0.000360395	0.000241371	0.000269198	0.000139824	0.00019345	0.00020867
BCL2L1	0.002341942	0.001511251	0.00157025	0.001671526	0.003854483	0.002694608	0.00220122	0.001837729	0.002141501	0.001775255	0.001653883	0.002339579	0.001129194	0.001770928	0.001398173	0.000775878	0.002295431	0.00138543	0.001646698	0.001359742	0.001738481	0.002045565	0.000863074	0.001494899	0.001601834
BCL2L11	0.000226893	0.000184497	0.000161385	0.000247842	0.000256036	0.000212205	0.000262197	0.000169488	0.000319927	0.000290928	0.000260762	0.000257082	0.000198055	0.000152507	0.000260249	4.28E-05	0.000230537	0.00038269	0.000253343	0.000296505	0.000209254	0.000585197	0.000114519	0.00020863	0.000300237
BCL2L2	0.000227945	9.81E-05	0.000148907	0.000139749	0.000447297	0.000206095	0.000220124	0.000137329	0.000277732	0.000134777	0.000171162	0.000233883	0.000146328	0.000143272	0.000203687	0.000103378	0.000198257	0.000256557	0.000182989	0.00017886	0.00018527	0.000182389	9.72E-05	0.000126265	0.000111136
BCL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCOR	0.001839672	0.001633218	0.0013334	0.002286536	0.002512989	0.002201787	0.002235016	0.002181738	0.002566094	0.002219952	0.002164044	0.001814986	0.001367677	0.001407541	0.001726323	0.000299741	0.002492504	0.002111483	0.002057572	0.002844784	0.002157573	0.001600233	0.001393105	0.001909139	0.001678582
BCORL1	0.000407147	0.00051647	0.000501227	0.000621848	0.001841847	0.000491369	0.000956221	0.000692073	0.000503606	0.000794295	0.000789289	0.000436366	0.001051396	0.000386638	0.000324307	0.000210436	0.000714206	0.001409416	0.001106414	0.000908216	0.000716178	0.001510133	0.000330678	0.000580839	0.000416112
BIRC3	0.000416938	0.000606071	0.000761679	0.000445745	0.000788305	0.000270604	0.000373981	0.000781851	0.00039266	0.000448465	0.000873869	0.000652246	0.000449413	0.001147071	0.000667211	8.43E-05	0.000317789	0.000658651	0.000530686	0.000623871	0.001097389	0.001180731	0.000324577	0.000760593	0.000393816
BLM	0.000426737	0.000229342	0.000296105	0.000373525	0.00065528	0.000287802	0.000318405	0.000297171	0.000160639	0.000402615	0.000727261	0.000106534	0.000217861	0.000339122	0.000433488	9.96E-05	0.000258317	0.00036748	0.0006354	0.000174546	0.000292067	0.00027955	0.00034394	0.000188533	0.000337814
BMPR1A	0.000594941	0.000778686	0.000533466	0.001095989	0.000634745	0.000627618	0.000699708	0.001028339	0.000700642	0.000757668	0.001066685	0.000542816	0.00047008	0.000459445	0.000462013	8.64E-05	0.000745161	0.0012433	0.000840422	0.001069436	0.000890093	0.00091573	0.000567358	0.000869542	0.000142145
BRAF	0.001374096	0.001408242	0.001226941	0.001884016	0.000936155	0.00169648	0.001896649	0.001942298	0.001534473	0.001663017	0.002245015	0.001414024	0.001721423	0.001049057	0.001079653	9.58E-05	0.001528659	0.003212533	0.002308218	0.002500934	0.002180026	0.003384639	0.001102958	0.001988132	0.001332818
BRCA1	0.000620874	0.00035492	0.000437611	0.000495272	0.001203699	0.000435784	0.000441022	0.000388755	0.000198065	0.00054442	0.000765288	0.000168103	0.000336224	0.000453809	0.000615307	0.000413522	0.000352813	0.00045537	0.0008688	0.000186723	0.000368653	0.000549107	0.000431432	0.000255615	0.000400255
BRCA2	0.0003032	0.000181263	0.000338372	0.00040105	0.00096088	0.000204015	0.000280677	0.000350453	0.000130949	0.000285642	0.00060661	9.33E-05	0.00014162	0.0002732	0.00033225	0.000123651	0.000172098	0.000282935	0.000679984	0.000132664	0.000261475	0.000550488	0.000205898	0.000122704	0.000318023
BRD4	0.002076938	0.001628838	0.002234866	0.0022331	0.001741878	0.002126053	0.002307047	0.002416314	0.002285221	0.002212672	0.00250716	0.002241228	0.001427576	0.00170719	0.0021346	0.000159464	0.001998092	0.002563193	0.002274917	0.002838953	0.002442934	0.002315343	0.001928053	0.00210156	0.001681276
BRIP1	0.000382367	0.000216882	0.000248289	0.000371526	0.000457181	0.000287347	0.000280622	0.000290715	0.000173688	0.000411585	0.000632477	0.000111525	0.000139128	0.000252981	0.000399775	3.52E-05	0.000234671	0.000367385	0.000600778	0.000144303	0.000250536	0.000260988	0.000228982	0.000182391	0.000268598
BTG1	0.000220277	0.000460916	0.000634061	0.000778064	0.000297682	0.000204366	0.000593707	0.000646847	0.000317408	0.000419437	0.000713723	0.000606104	0.000294371	0.000350238	0.000454455	3.45E-05	0.000339319	0.000823835	0.000828496	0.00069645	0.000837311	0.002420497	0.000268333	0.000733138	0.000742894
BTK	9.29E-05	0.000338801	0.000322264	0.000146277	0.000345647	0.000201862	0.000220336	0.000251796	0.000230803	0.0001316	0.000682765	0.000319825	0.000135491	0.000257678	0.000113603	3.98E-05	0.000240827	0.000470659	0.000258471	0.000274324	0.000385729	0.000530695	0.000204825	0.000484207	0.000155542
BUB1	0.001394995	0.000736017	0.000895261	0.000938072	0.000796575	0.001018842	0.000605327	0.000654986	0.000576593	0.001027382	0.001345856	0.000426169	0.00038596	0.00137718	0.001308206	0.000129486	0.000849248	0.000791754	0.001600346	0.000388341	0.000602854	0.000987864	0.00102624	0.000635568	0.000806899
C8orf34	0	0	0	0	0	0	0	0	0	0	0	0	1.25E-07	0	0	0	0	0	0	0	0	0	0	0	0
CALR	0.020207441	0.020749067	0.026733782	0.015238276	0.012468587	0.013757759	0.019564673	0.014852288	0.01793104	0.016524783	0.018355272	0.017583834	0.013362702	0.020183445	0.017253024	0.000847108	0.018652317	0.031688298	0.021201013	0.021923841	0.013977623	0.039945444	0.016054362	0.016459698	0.024462767
CARD11	0.000173004	0.000323542	0.000289335	0.000126365	0.000594638	0.000228214	0.000307023	0.000156925	0.000669561	0.000481662	0.000282099	0.000305897	8.04E-05	0.000219524	0.000984989	8.31E-05	0.000196854	0.000303295	0.000130936	0.000185809	0.00035582	0.000292359	0.000190004	0.000238294	0.000102039
CASP8	0.00136033	0.001332152	0.001474333	0.001582334	0.00192434	0.001383122	0.001837575	0.001648661	0.001575353	0.001537197	0.001631824	0.001445013	0.000595233	0.0014877	0.001297723	0.000171288	0.001353298	0.001613055	0.001369349	0.001470161	0.00234085	0.001585459	0.000736921	0.001068608	0.001931434
CBFB	0.000237054	0.000205778	0.0002532	0.000380298	0.000198898	0.000254578	0.000305493	0.00029343	0.000258816	0.000256504	0.000397412	0.00024051	0.000186859	0.000222907	0.000268304	1.60E-05	0.000265459	0.000294875	0.000358751	0.000256473	0.000320944	0.000586708	0.000226456	0.000285881	0.000280111
CBL	0.000179769	0.000216273	0.000272001	0.000245891	0.000264217	0.000201861	0.000244148	0.000248545	0.000245656	0.000253528	0.000281652	0.000225676	0.00021981	0.000239115	0.000159977	5.25E-05	0.000234182	0.000323691	0.000253901	0.000329206	0.000275342	0.0004012	0.000194443	0.000264847	0.000211
CBR3	0.000205493	0.000201811	0.000113453	0.000215744	0.00058226	0.000213668	0.000245006	0.00024748	0.000205856	0.000210145	0.000253313	0.000181699	0.000361674	0.000166623	0.000183089	6.02E-05	0.000274459	0.000247832	0.000308397	0.00014471	0.000222621	0.000218887	9.48E-05	6.56E-05	0.000108423
CCND2	0.001836469	0.001877968	0.000854287	0.001929007	0.00120801	0.001222275	0.002342003	0.002521726	0.001664294	0.002712606	0.002197451	0.000656128	0.001980475	0.000719138	0.001857514	0.000105666	0.002019941	0.002688206	0.002915877	0.002617113	0.001652133	0.004123071	0.001980068	0.002673457	0.000400352
CCND3	0.000642293	0.000866221	0.001269396	0.00052897	0.001623732	0.000646173	0.000528201	0.000523218	0.000613019	0.000649699	0.000535116	0.000693567	0.000372628	0.001176454	0.000555772	0.000805527	0.000671137	0.000680164	0.000445163	0.000453022	0.000579241	0.00067971	0.000755777	0.000686726	0.000787569
CCNE1	0.000354846	0.000141183	0.000250233	0.000220669	0.000612171	0.000223967	0.000255244	0.000192656	0.00019511	0.000258817	0.00031453	0.000127312	0.000173364	0.000223393	0.000308509	5.91E-05	0.000228106	0.000259375	0.000343848	0.000169068	0.000203374	0.000520703	0.000369676	0.000191105	0.000314766
CD274	7.56E-05	5.26E-05	3.76E-05	3.19E-05	0.000407089	6.58E-05	3.36E-05	6.49E-05	4.16E-05	5.33E-05	8.33E-05	6.30E-05	9.58E-05	9.40E-05	9.00E-05	3.84E-05	4.73E-05	0.000113405	3.62E-05	4.91E-05	7.08E-05	0.000145397	2.26E-05	5.49E-05	3.94E-05
CD276	0.001361776	0.000951566	0.000810205	0.000593609	0.002696631	0.001231039	0.00084184	0.000791413	0.001190956	0.000888295	0.000663356	0.001009731	0.000536462	0.000845164	0.001274392	0.000226758	0.001245308	0.000535355	0.000527139	0.000566621	0.000520298	0.000502046	0.000535989	0.000644378	0.000801463
CD79A	0.000150164	0.000601613	0.001264993	0.000165461	0.000724727	0.000248812	0.000314669	0.00026029	0.000472052	0.000244249	0.000879774	0.000595671	0.000164516	0.000534316	0.000141302	9.35E-05	0.000629529	0.00062688	0.000196617	0.000211482	0.000554695	0.000351999	0.00039811	0.000461247	0.000112492
CD79B	5.63E-05	8.73E-05	6.84E-05	3.80E-05	0.000653352	7.98E-05	5.36E-05	2.37E-05	9.42E-05	3.06E-05	0.000208001	0.000114483	3.57E-05	8.50E-05	2.68E-05	0.000106967	7.73E-05	0.000202	2.77E-05	4.26E-05	0.000145902	0.000142747	4.95E-05	0.000106308	2.91E-05
CDA	5.68E-05	7.50E-05	0.000184727	2.05E-05	0.000333302	3.31E-05	5.31E-05	1.66E-05	4.40E-06	3.60E-06	3.60E-06	0.000171286	7.89E-06	9.11E-05	4.71E-05	5.33E-05	1.11E-05	8.34E-07	2.51E-05	6.45E-06	1.40E-05	2.57E-05	2.88E-06	1.59E-05	5.21E-05
CDC73	0.000174225	0.000188784	0.000237661	0.000275243	9.38E-05	0.000175208	0.000243748	0.000264577	0.000207514	0.000199011	0.00028514	0.000193373	7.72E-05	0.000214986	0.000160932	1.95E-05	0.000194573	0.000334484	0.000245448	0.000280867	0.000260668	0.000303281	0.000150239	0.00021756	0.000215104
CDH1	0.010536713	0.013289027	0.017546408	0.015111118	0.004930503	0.010475176	0.011802613	0.010109933	0.012468704	0.012230515	0.008352803	0.017498885	0.004163575	0.012858915	0.010078095	0.000237294	0.012344439	0.006001229	0.010906797	0.014965518	0.011227907	0.004863682	0.007217359	0.007163648	0.016348101
CDK12	0.001986154	0.001648336	0.002697788	0.003084154	0.002567671	0.001874353	0.003481809	0.003728418	0.001718507	0.002861518	0.004264019	0.001978068	0.003010017	0.001918749	0.001828876	0.000465083	0.002173663	0.00375314	0.003399353	0.003266382	0.003762256	0.00290333	0.00135677	0.001521912	0.00235159
CDK4	0.002658827	0.002008644	0.001209867	0.002054129	0.002131129	0.002154833	0.002548597	0.001627325	0.002564085	0.002227731	0.001942004	0.001245028	0.001082051	0.001615358	0.002968671	0.000152098	0.002002012	0.001734797	0.001977136	0.00159672	0.001373376	0.002033609	0.002235644	0.0025851	0.001681298
CDK6	0.000333929	0.000171252	0.000105272	0.000283162	0.000286544	0.00027716	0.000257697	0.000250903	0.000327044	0.000225664	0.000305441	0.000177845	0.000181205	9.33E-05	0.000186535	4.56E-05	0.000279181	0.000305879	0.000327647	0.000407479	0.00024527	0.000214882	0.000180596	0.00028861	0.000126062
CDK8	0.000363318	0.000439839	0.000506128	0.000580486	0.000511858	0.000362944	0.000634369	0.000597876	0.000399272	0.000465848	0.00069313	0.000472564	0.000426778	0.000365998	0.000350176	3.94E-05	0.000415981	0.000787459	0.000754116	0.000723525	0.000596428	0.000903201	0.000380541	0.00075711	0.000521911
CDKN1A	0.005749032	0.003676321	0.004175143	0.001600118	0.006961249	0.00590845	0.003167615	0.002401304	0.005910797	0.003002005	0.001689021	0.005167971	0.001090771	0.003755691	0.003682572	0.000771385	0.004727091	0.002232033	0.001706473	0.001592071	0.001750884	0.002013294	0.000890268	0.003124794	0.002794857
CDKN1B	0.000647953	0.000769319	0.000503733	0.000675897	0.001069058	0.000718837	0.000723554	0.00101953	0.000934299	0.000878689	0.000913125	0.000652598	0.000365584	0.000608308	0.00062336	0.000187586	0.000812172	0.000578237	0.00058235	0.000844411	0.000985219	0.000454403	0.000488786	0.000631003	0.000437957
CDKN1C	1.98E-05	5.81E-05	1.46E-05	1.68E-05	0.000186929	1.98E-05	1.03E-05	9.46E-06	1.39E-05	9.52E-06	6.91E-06	1.51E-05	1.52E-05	9.55E-06	7.16E-06	6.38E-05	3.22E-05	2.67E-05	1.18E-05	8.29E-06	1.03E-05	4.38E-05	7.28E-06	7.79E-06	6.06E-06
CDKN2A	7.85E-05	7.66E-05	3.06E-05	2.23E-05	0.001097828	0.000105491	6.44E-05	2.34E-05	3.93E-05	2.34E-05	5.62E-05	4.76E-05	6.09E-05	0.000104338	0.000119559	0.00036493	4.72E-05	0.00017979	3.03E-05	1.83E-05	2.73E-05	0.000606336	1.16E-05	3.32E-05	0.000191485
CDKN2B	6.34E-05	0.000132211	0.000206813	2.83E-05	0.00026068	6.90E-05	3.06E-05	2.66E-05	1.49E-05	4.63E-05	3.73E-05	0.000145982	1.62E-05	7.19E-05	4.28E-05	0.000116985	7.20E-05	4.34E-05	4.91E-05	2.18E-05	6.63E-05	0.000107909	1.77E-05	1.12E-05	7.21E-05
CDKN2C	0.000216099	0.000280578	0.000155382	0.000143791	0.000784257	0.000177666	0.000165854	0.000120793	0.000112597	0.000188862	0.000232154	0.000128846	0.000123061	0.000290242	0.000157659	0.000173927	0.000164046	0.000249037	0.000349548	0.00011622	0.0001352	0.000597796	0.000221591	0.00019786	0.000135475
CEBPA	0.001115303	0.001160726	0.001426532	0.000827762	0.003041056	0.001269341	0.001495512	0.00103848	0.001147973	0.001326144	0.000877442	0.000993448	0.000999884	0.001039487	0.000467082	0.001118889	0.00150441	0.001825277	0.001296704	0.001104812	0.001051239	0.003916775	0.001001884	0.001526302	0.00108251
CENPA	0.000141869	6.60E-05	7.99E-05	8.30E-05	1.44E-05	9.26E-05	6.13E-05	6.38E-05	4.35E-05	0.000132963	0.000111492	3.78E-05	5.11E-05	0.000143601	0.000118614	1.66E-06	8.05E-05	0.000102399	0.000155314	3.49E-05	5.82E-05	1.00E-05	0.000196994	0.000132059	6.55E-05
CHD2	0.000725892	0.000769045	0.000956191	0.001167607	0.001033645	0.00089179	0.001186217	0.001608326	0.000962203	0.001089255	0.001589526	0.001062303	0.000808026	0.000782579	0.000949941	9.39E-05	0.001039514	0.001568421	0.001535703	0.001294946	0.00185843	0.001033847	0.000454261	0.000733581	0.000862779
CHD4	0.002314345	0.002106255	0.00191284	0.002478065	0.001524612	0.002371086	0.002650487	0.002346292	0.002647831	0.002271029	0.002343063	0.002036435	0.001155602	0.002051728	0.002347769	0.00014307	0.002458385	0.002126977	0.002221566	0.002329416	0.002359165	0.001784612	0.002214588	0.001891232	0.001901229
CHEK1	0.000777979	0.000439666	0.000574701	0.000770989	0.000447144	0.000523417	0.000696197	0.000520141	0.000612009	0.000675663	0.000945342	0.000313165	0.000367697	0.000536436	0.000725091	1.96E-05	0.000490515	0.000608716	0.001179506	0.000354617	0.000526406	0.000863591	0.000800243	0.000494725	0.000619294
CHEK2	0.000833111	0.000510117	0.000434625	0.000695203	0.001040427	0.000712203	0.000859828	0.000610687	0.000648347	0.000892237	0.000899602	0.000401451	0.000432717	0.000542971	0.000742362	0.000143545	0.000650919	0.000817097	0.000799344	0.000537558	0.000588439	0.000785199	0.000602346	0.000556433	0.000591087
CIC	0.001392829	0.001116538	0.001299418	0.000875833	0.003114318	0.001442218	0.001531237	0.001409138	0.001540508	0.001877858	0.001328063	0.001245401	0.001480697	0.00111728	0.00107983	0.000371301	0.001445712	0.00158047	0.001066559	0.001137337	0.001251821	0.001255378	0.000894816	0.00102307	0.0009647
CREBBP	0.002618347	0.002330245	0.002712481	0.003076857	0.002710671	0.002955466	0.003438147	0.00432174	0.003661497	0.00366639	0.003699394	0.003298033	0.002528306	0.002484193	0.002123669	0.00030191	0.003162504	0.004156039	0.003069974	0.004296861	0.003549119	0.002931932	0.002076999	0.002807958	0.002039061
CRKL	0.000360196	0.000466009	0.000372944	0.000443915	0.000597326	0.000375028	0.00044098	0.000549633	0.000412575	0.00046686	0.000518618	0.000340617	0.000319533	0.000367903	0.000405795	8.22E-05	0.000456767	0.000467196	0.000453693	0.000494964	0.00039735	0.00040464	0.000304376	0.000349628	0.000389083
CRLF2	1.13E-05	1.27E-05	7.44E-06	9.05E-06	0.000115448	1.09E-05	6.12E-06	7.70E-06	3.60E-06	3.58E-06	2.22E-05	9.87E-06	3.54E-06	2.42E-05	5.65E-06	0	1.59E-05	2.32E-05	1.23E-05	1.22E-05	1.34E-05	0	1.29E-05	1.46E-05	1.92E-06
