geneid	Sam_20CF30184F	Sam_20FC40151F	Sam_20FC40237F	Sam_20FC40679F	Sam_20FC40819F	Sam_20FC40828F	Sam_20FC40862F	Sam_20FC40894F	Sam_20FC40946F	Sam_20ZN11229T	Sam_20ZN11880F	Sam_20ZN13419F	Sam_20ZN13511F	Sam_20ZN13514F	Sam_20ZN14432T	Sam_20ZN14604F	Sam_20ZN21802F	Sam_20ZN22517F	Sam_20ZN22870F
APC	0.000285523	0.00056404	0.000604851	0.000849003	0.000731139	0.000842204	0.000724584	0.000208305	0.00028613	0.0040248	0.000606447	0.001011577	0.00083086	0.000123159	0.000423054	0.001020937	0.00032152	0.00439159	0.000714204
AR	0.000315421	3.59E-05	0.000177823	0	0	0	0	5.58E-05	2.53E-05	5.43E-07	2.51E-05	3.60E-08	0	0	0	0	5.59E-05	3.02E-06	5.21E-08
ARAF	0.003203918	0.002627859	0.003966491	0.000876714	0.001297216	0.002453527	0.002076125	0.002056012	0.00203782	0.001938559	0.002473846	0.001306387	0.002199768	0.002848177	0.001811939	0.001147443	0.00097678	0.000647562	0.001979865
ARFRP1	0.001292862	0.000313186	0.000402715	3.46E-05	4.59E-05	8.43E-05	0.000115986	0.000508332	0.00040703	0.000520753	0.000437751	3.68E-05	0.000156398	0.000148289	7.98E-05	4.30E-05	0.000205968	0.000328957	0.000185714
ARID1A	0.0042139	0.003066623	0.003699109	0.002132744	0.00508472	0.003202307	0.004882243	0.002931182	0.002546579	0.003557128	0.003247476	0.003761446	0.003071439	0.004651008	0.004858871	0.005235361	0.001802891	0.005991984	0.003640426
ARID1B	0.00112946	0.001067739	0.001494399	8.50E-05	0.000163919	0.000117048	0.00017902	0.001388467	0.000964342	0.000283095	0.001224563	8.45E-05	0.000169778	0.000156457	0.000229385	0.000117992	0.000628942	0.000469247	0.000152702
ARID2	0.000816484	0.001035384	0.000871778	7.88E-05	0.000118762	6.51E-05	0.000133143	0.000712538	0.000688107	0.000209642	0.000784438	5.68E-05	0.000114634	0.000114291	0.000120495	9.09E-05	0.000331292	0.000105124	8.24E-05
ARID5B	0.001568682	0.000922608	0.001182144	0.000167404	0.000195721	9.00E-05	0.000158176	0.001287781	0.00073978	0.000241432	0.000924933	0.000271299	0.000335757	0.000243926	0.000179589	0.000599625	0.000365914	0.000277453	0.000177637
ASXL1	0.002754981	0.002046951	0.001916047	0.000805798	0.000912676	0.001639721	0.001390936	0.001254895	0.000884932	0.003228396	0.001555662	0.000863003	0.002524542	0.001652426	0.001356506	0.000946478	0.000958814	0.002551325	0.001294588
ASXL2	0.00064534	0.000868136	0.000820603	0.000135601	0.000106133	0.0001615	0.000116365	0.000741653	0.000414815	0.000241628	0.000571251	0.000136187	0.00017805	8.58E-05	0.000172773	9.98E-05	0.000527723	7.51E-05	0.000132472
ATM	0.001036037	0.001196617	0.001521266	0.001126256	0.001111178	0.000527726	0.001143745	0.000464379	0.000361044	0.001163083	0.000957922	0.001155625	0.001797562	0.000513497	0.000512619	0.000543536	0.000844289	0.004357503	0.000978303
ATR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATRX	0.000871486	0.001750992	0.001535889	0.001754654	0.001991182	0.001154486	0.001803096	0.00094507	0.000917163	0.002120655	0.001192979	0.001869697	0.002925898	0.002139935	0.001367774	0.002210659	0.000914566	0.006841096	0.001270647
AURKA	0.000921998	0.001630977	0.000149406	0.000723746	0.000477642	0.001074749	0.000131617	0.000416568	0.000249354	0.000641504	0.000472326	0.000532648	0.000417851	0.000749518	0.000398242	0.000271127	0.000305187	0.003152443	0.000244492
AURKB	0.001016412	0.000952693	0.000108973	0.000111716	0.000390939	0.00014453	0.000159933	0.000447332	0.000670781	0.000277621	0.000485173	0.000146181	0.00023392	0.000328704	0.000231163	8.50E-05	0.000188614	0	0.000201908
AXIN1	0.002754376	0.001278733	0.001578232	5.28E-05	7.97E-05	0.000101917	0.000182869	0.002013686	0.001491201	0.000547597	0.001428439	0.000100214	0.000124189	0.000187444	0.000128198	8.21E-05	0.000577226	6.94E-05	0.000136868
AXIN2	0.002145291	0.004060379	0.000774413	0.000397206	0.000844453	0.000422663	0.001825298	0.003868824	0.000618377	0.001154873	0.002739011	0.000102144	0.001018246	0.002099144	0.000567202	0.00029417	0.000337138	0.000273949	0.000157346
AXL	0.000579492	0.000317256	0.002660977	8.70E-05	3.10E-05	3.50E-05	0.000132988	0.000441205	0.000544577	0.000177198	0.000478652	0.000201998	0.000199628	5.87E-05	3.15E-05	0.000117754	0.000510298	4.33E-06	0.000250421
B2M	0.010736464	0.070607113	0.076508878	0.055582828	0.03334964	0.059845404	0.089682675	0.024014177	0.036224424	0.006288237	0.095385117	0.084283326	0.078294276	0.07131418	0.021382181	0.064814879	0.035042597	0.006612406	0.067432871
BAP1	0.001682945	0.001114623	0.001688783	0	3.46E-08	8.07E-08	0	0.001113619	0.001425605	0	0.001079073	0	0	0	5.66E-08	0	0.000475367	0	0
BARD1	0.000309611	0.001051912	0.00022828	0.000554143	0.000540052	0.000224861	0.000250799	0.00045048	0.00018907	0.002634809	0.000335408	0.00078926	0.000535607	0.00020716	0.000772032	0.000500077	0.000134167	0.002449166	0.000415605
BBC3	0.000429667	0.000160591	0.000329785	1.71E-05	4.74E-05	0.000140442	0.000116041	0.000214118	0.000413953	0.000400536	0.000184745	2.75E-05	2.29E-05	2.91E-05	6.64E-05	1.92E-05	7.87E-05	7.03E-06	5.19E-05
BCL10	0.000212191	0.000435162	0.000386899	0.000146734	0.000147656	0.000179241	0.000124512	0.00028729	0.000150948	0.000255996	0.00029668	0.00024662	0.000168267	0.000126261	0.000153644	0.000138803	0.000121392	0.001159122	0.00019142
BCL2	0.000345798	0.000131905	0.000160879	3.81E-05	7.43E-05	5.42E-05	0.000593601	0.000114309	0.000453113	0.002591242	0.000208594	4.00E-05	0.000319455	0.00012059	0.000117766	9.83E-05	6.01E-05	0.001916248	0.00078678
BCL2L1	0.002993188	0.002165925	0.003655772	0.000281153	0.000493759	0.000976921	0.000407583	0.001921913	0.001152551	0.00101572	0.002140082	0.000801721	0.00061115	0.00109219	0.00045482	0.000641857	0.001913753	0.002931493	0.000330674
BCL2L11	0.000219081	0.000227203	0.000140627	7.41E-05	0.000165072	0.000154321	9.77E-05	0.00014659	0.000162357	0.000270364	0.000183211	0.00053267	0.000232369	0.00023734	0.00031291	0.000228918	0.000100873	0.000427292	0.000259881
BCL2L2	0.000223543	0.000145478	0.000176294	3.33E-05	5.38E-05	2.10E-05	0.000132947	0.000167018	0.000469074	0.000137127	0.000238987	3.59E-05	7.03E-05	3.45E-05	7.60E-05	9.45E-05	0.000124279	0.000329698	8.36E-05
BCL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCOR	0.001454643	0.00138023	0.001541904	0.000709401	0.00236564	0.001020714	0.001750155	0.00138549	0.001161233	0.003236377	0.001348381	0.001094289	0.000991563	0.001434483	0.002121056	0.001678384	0.000428624	0.0026032	0.000980453
BCORL1	0.001605801	0.000477511	0.000620329	2.30E-05	6.36E-05	3.97E-05	3.90E-05	0.000521886	0.000730152	0.0003639	0.000426285	3.12E-05	5.06E-05	6.61E-05	9.17E-05	6.55E-05	0.000279006	0.000113958	6.40E-05
BIRC3	0.00014844	0.000612633	0.000497334	0.000141492	0.0002963	2.24E-05	0.000183174	9.01E-05	0.000176955	0.00052592	0.001134632	0.000171455	0.00030633	4.10E-05	5.16E-05	8.02E-05	0.000315269	0.00078345	0.00018331
BLM	0.00026899	0.000768445	4.29E-05	6.79E-05	8.10E-05	4.71E-05	1.58E-05	0.000198139	0.000114812	0.000689738	0.000249127	5.84E-05	4.39E-05	9.26E-05	9.30E-05	4.79E-05	0.000151191	0.00053404	4.29E-05
BMPR1A	0.000267112	0.000610529	0.000772916	0.000398065	0.00050364	0.000370985	0.000408868	0.000334933	0.000213127	0.000542657	0.000304116	0.000220152	0.000687821	0.000315478	0.000530645	0.000398537	0.000165332	0.002469586	0.000444084
BRAF	0.000790546	0.000814334	0.001395658	0.000372884	0.000696421	0.000424577	0.000579817	0.000740433	0.000547219	0.000404034	0.00067882	0.000618439	0.000866357	0.000650197	0.000780349	0.000950094	0.000609004	0.00238582	0.000462267
BRCA1	0.000805766	0.001041969	9.77E-05	0.000819611	0.001079301	0.000263139	0.000204227	0.000269764	0.000204927	0.00345771	0.000410885	0.000456779	0.000525602	0.000849577	0.000383413	0.000641948	0.000130479	0.003761098	0.00026624
BRCA2	0.000409774	0.000737864	7.66E-05	0.000860589	0.000558973	0.000247099	0.000105412	0.00031464	7.35E-05	0.002142967	0.000251416	0.000508327	0.000319993	0.000323731	0.00086372	0.000186514	0.00024359	0.005168511	0.000175931
BRD4	0.002568777	0.002570318	0.003604628	0.000973323	0.00218877	0.001231233	0.001759357	0.001871367	0.002510121	0.001486122	0.00196782	0.000940248	0.001433856	0.001783422	0.002221363	0.002086672	0.001215179	0.000734406	0.001413888
BRIP1	0.000305591	0.000485669	3.76E-05	0.000296426	0.000468885	0.000109299	9.74E-05	0.000127561	7.89E-05	0.001056482	0.000182031	0.000178204	0.000174432	0.00025161	0.00016848	0.000247436	9.29E-05	0.001892786	0.000134721
BTG1	0.0001985	0.000420362	0.000357143	0.00016666	0.000101964	0.000307732	0.000213395	0.000241623	0.000223212	0.000224104	0.000227446	0.000173759	0.000482585	0.00022771	0.000348963	0.000121797	0.000664013	1.31E-05	0.000380526
BTK	0.000133356	0.000192227	0.000335115	0.000193603	4.29E-05	7.41E-05	0.000256911	7.03E-05	0.000113606	0.000513661	0.000385453	0.000145652	0.000385747	0.000118628	6.13E-05	0.000162688	0.000127021	0.002937058	0.000297082
BUB1	0.000558201	0.001986778	0.000152939	2.41E-05	2.13E-05	6.75E-06	0	0.000724467	0.000480558	2.83E-07	0.000584679	3.89E-05	4.84E-06	1.70E-05	6.86E-07	3.52E-06	0.000338036	0	1.70E-06
C8orf34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALR	0.040077987	0.03465428	0.034661133	0.008745154	0.02299601	0.020664566	0.014548779	0.01956064	0.043158193	0.009884451	0.027252058	0.010299931	0.015081249	0.016533736	0.01859471	0.017262127	0.00972297	0.005603933	0.015827512
CARD11	0.000303835	0.000206965	0.00012496	6.71E-06	6.16E-06	2.66E-06	2.49E-05	0.000136041	0.000127486	4.88E-05	0.000740414	5.55E-05	2.87E-05	7.08E-06	0.000114194	2.86E-05	0.000111172	0.000108621	2.26E-05
CASP8	0.000608076	0.002259863	0.001024271	0.00068848	0.000980131	0.000718715	0.001287659	0.000759232	0.000572898	0.002249566	0.001549572	0.001038496	0.001191887	0.000470764	0.000922975	0.000504114	0.000596738	0.002667106	0.000805809
CBFB	0.000279273	0.000307629	0.000378183	0.000223773	0.000372174	0.000224673	0.000247608	0.000473889	0.000202467	3.05E-05	0.00021844	0.00019808	0.00021627	0.000515138	0.000290704	0.000190484	0.000246466	0	0.000161502
CBL	0.000270984	0.000258598	0.00039185	0.000167684	0.00025782	0.000136685	0.000268988	0.000122345	0.000181913	0.000264563	0.000286098	0.000281139	0.000244552	0.000268883	0.000166654	0.0003169	9.37E-05	0.000434406	0.000184097
CBR3	0.000161371	0.000104703	0.000220546	8.78E-05	0.000145755	0.000173944	0.000127313	0.000254946	8.17E-05	0.000449632	0.000203939	6.38E-05	5.87E-05	0.00019802	0.000126734	0.000220541	9.33E-05	0	0.000104635
CCND2	0.000283268	0.002200998	0.000359832	0.00010538	0.000111391	7.08E-06	0.000204218	0.003502022	0.001372612	0.000175446	0.000962543	3.93E-05	0.000291587	0.000428189	0.000288496	0.000188358	0.00047313	5.66E-05	0.000210618
CCND3	0.002169296	0.000925036	0.001679818	0.00021129	0.000374862	0.000251362	0.00038931	0.001238742	0.00077793	0.001974077	0.001378781	0.000384221	0.000505684	0.000445568	0.000374771	0.00044115	0.000393749	0.000915418	0.000836994
CCNE1	0.000144285	0.00064487	8.27E-05	0.000212369	0.000317725	0.000154204	0.00010079	0.00010765	0.000217904	0.000517314	0.000165289	0.000158436	9.25E-05	0.00025968	0.000140483	0.000149787	9.11E-05	0.00156506	0.000116802
CD274	5.07E-05	0.000162164	1.73E-05	4.91E-05	8.32E-05	1.24E-05	5.02E-05	1.26E-05	4.80E-05	0.000607454	0.000198189	4.72E-05	9.84E-05	4.03E-05	4.15E-05	4.02E-05	0.000169792	0.001924954	5.50E-05
CD276	0.002138949	0.001164528	0.004711206	0.000139484	0.000288966	0.000273948	0.000318493	0.0013213	0.002214932	0.00171561	0.000662728	0.000228813	0.000342285	0.000465059	0.000277666	0.000137207	0.000602413	0.001063249	0.000437004
CD79A	0.000314093	0.000522379	2.80E-05	2.93E-05	1.03E-05	2.94E-06	0.000221876	8.10E-05	0.000161139	0.000341332	0.000806931	2.91E-05	0.000202045	1.40E-06	1.91E-05	0.000133203	5.37E-05	0.000533866	0.000286031
CD79B	0.000343573	8.08E-05	7.55E-05	1.23E-06	4.52E-07	1.65E-06	1.19E-05	4.26E-05	3.19E-05	0.000197759	0.000209788	3.37E-06	4.01E-05	2.72E-06	6.56E-06	1.39E-05	2.62E-05	0	5.50E-05
CDA	0.000287292	4.60E-05	0.000372462	1.69E-05	3.77E-05	5.66E-05	1.47E-05	5.81E-05	5.67E-05	0.001297205	7.99E-05	0.000232327	2.30E-05	3.10E-05	3.90E-05	0	5.43E-05	3.39E-05	0.000145668
CDC73	0.000125367	0.000224507	0.000174327	7.12E-05	0.000141769	6.69E-05	0.000100286	8.62E-05	0.000119725	5.57E-05	0.000159364	0.000136677	0.000136934	0.000154575	0.000135186	0.000102464	9.73E-05	4.91E-05	0.000107831
CDH1	0.006303577	0.008685665	0.003989567	0.003838317	0.005395839	0.007647586	0.005922046	0.012313507	0.002949401	0.003175097	0.009638969	0.004041783	0.006182987	0.009778008	0.007255484	0.004986515	0.002328504	0.000395607	0.006478291
CDK12	0.002227805	0.002502897	0.001420076	0.02373388	0.002426351	0.001279488	0.00166309	0.005011523	0.001385583	0.001650123	0.001880478	0.000940696	0.001353017	0.001788844	0.001010042	0.001796203	0.000839455	0.005293882	0.00110782
CDK4	0.004384053	0.003849864	0.002997188	0.001653544	0.002081091	0.003251129	0.001589776	0.001988813	0.002300997	0.002212271	0.001385833	0.001170259	0.001717309	0.006134799	0.002563643	0.001665565	0.000799481	6.70E-05	0.001663482
CDK6	0.000223436	0.000142844	0.000131081	7.40E-05	0.000100615	0.000117023	9.87E-05	0.000114703	0.000114551	7.24E-05	0.000146884	9.15E-05	6.27E-05	0.000113775	0.000210218	0.000182557	6.23E-05	0.000155862	7.88E-05
CDK8	0.000368361	0.000724644	0.000478322	0.000310787	0.000109669	0.000205178	9.45E-05	0.00043547	0.000180823	2.20E-05	0.000344013	0.000188904	0.000282589	9.85E-05	0.000386794	7.62E-05	0.000341632	0.000113452	0.000114737
CDKN1A	0.003769242	0.003374162	0.006980605	0.000377313	0.00086751	0.000407085	0.003443632	0.003890217	0.007167034	0.023413282	0.00518671	0.000893801	0.001382135	0.000971518	0.00033426	0.000447107	0.001977632	0.007944314	0.003520958
CDKN1B	0.000280766	0.001295156	0.000828336	0.000181962	0.000590523	0.000407764	0.000704878	0.001282951	0.001181982	0.001464557	0.000998406	0.000143682	0.000819005	0.001052361	0.000648748	0.00028879	0.000308636	0.000126887	0.000588908
CDKN1C	0.000392608	1.38E-05	0.000265181	1.27E-05	2.17E-05	6.48E-06	3.30E-05	9.73E-05	7.23E-05	0.000674168	0.000105129	3.77E-05	5.70E-05	1.61E-05	3.28E-05	1.19E-05	4.92E-05	0.000273956	7.49E-05
CDKN2A	0.00104267	6.70E-05	0.000539588	4.63E-05	3.14E-05	0.000165691	9.90E-05	0.000206466	0.000359411	0.00178055	6.22E-05	2.67E-05	8.66E-05	0.000234943	0.000156737	0.000115315	0.000233719	0.00260405	0.000103988
CDKN2B	0.000295614	5.18E-05	0.000238949	2.64E-05	1.38E-05	2.34E-05	6.23E-05	0.000108051	0.000132704	0.000473391	0.000202467	3.05E-05	9.55E-05	2.10E-05	4.08E-05	6.54E-05	4.33E-05	0.001321551	0.00030971
CDKN2C	0.000259176	0.000134887	0.000156838	5.29E-05	8.27E-05	3.56E-05	5.84E-05	0.000220727	0.000151053	0.00041644	0.000249368	9.92E-05	0.000131	2.69E-05	6.40E-05	4.45E-05	9.22E-05	0.000253585	0.000160081
CEBPA	0.001557644	0.001476428	0.001286555	8.12E-05	5.27E-05	0.000179513	0.000180725	0.001563164	0.000819407	0.000522831	0.001722928	4.75E-05	0.00017953	0.000204389	0.000125817	5.10E-05	0.000255025	0.000503482	0.000245119
CENPA	8.84E-05	0.000217656	3.27E-05	0.000142293	0.000146066	0.000179619	2.92E-05	9.51E-05	5.35E-05	0.000214864	7.58E-05	0.000144439	6.03E-05	0.000180195	0.000134019	3.25E-05	4.78E-05	2.84E-05	8.37E-05
CHD2	0.000874937	0.000839891	0.000837185	4.34E-05	0.000196192	1.00E-04	0.000120517	0.00080594	0.000855852	0.000121681	0.000836591	7.77E-05	0.000142085	8.50E-05	0.000159055	9.87E-05	0.000733574	0.000442434	7.82E-05
CHD4	0.001645993	0.003216926	0.002164865	0.000135196	0.000177401	0.000159335	0.000185844	0.001899198	0.001770064	1.80E-05	0.001719317	0.000167732	0.000257576	0.000252688	0.000281923	0.000134366	0.001037052	6.73E-06	0.000185571
CHEK1	0.000675389	0.000899724	0.000215188	0.000697513	0.000874623	0.000405818	0.000175232	0.000255294	0.000219726	0.000315956	0.0004612	0.000748516	0.000365938	0.000841708	0.000473866	0.000542255	0.000186152	0.000903658	0.000216135
CHEK2	0.000815999	0.000688395	0.000352486	0.000387831	0.000741955	0.000364931	0.000429159	0.000324533	0.000383112	0.001350329	0.000455319	0.000260983	0.000365565	0.000777965	0.000367804	0.000303829	0.000130954	0.001934909	0.000378767
CIC	0.001838901	0.000980558	0.002913031	0.000210223	0.000508385	0.000394387	0.000737095	0.001301445	0.001881095	0.001628747	0.001521447	0.000301876	0.000438391	0.000466464	0.000511672	0.000508601	0.000736321	0.000491993	0.000798917
CREBBP	0.00247476	0.002729064	0.003187787	0.000975584	0.002070669	0.001385848	0.001970049	0.003042509	0.001679347	0.001075628	0.00225878	0.001347438	0.001958229	0.001552938	0.002033493	0.001914651	0.001258139	0.001437834	0.001993123
CRKL	0.000900845	0.00036281	0.000377433	9.52E-05	0.000238505	0.000148655	0.00027139	0.000268915	0.00024128	0.000596124	0.000289746	9.72E-05	0.000133936	0.000158737	0.000185744	0.00014499	0.000228655	8.14E-05	0.000263312
CRLF2	1.30E-05	3.13E-06	1.52E-05	3.99E-06	0	0	2.37E-05	2.29E-06	2.53E-06	0.000157117	3.51E-05	3.20E-06	1.51E-05	3.62E-06	4.36E-06	1.32E-05	9.55E-06	0.00294674	1.31E-05
CSF1R	0.00111398	0.000769809	0.001680976	0.000565072	0.000168466	0.000331344	0.000829258	0.000664825	0.00127262	0.001540258	0.001915896	0.000534533	0.001057961	0.000742081	0.000286663	0.000621144	0.000734985	0.000851545	0.0012616
CSF3R	0.000894294	0.000661389	0.00165099	0.000502643	9.79E-05	0.000150352	0.000740411	0.000294367	0.004658239	0.001978209	0.001883809	0.0002221	0.000329929	0.000280419	0.000163812	0.000246226	0.000953144	0.000979229	0.000610995
CTCF	0.001099792	0.001405797	0.001125537	0.000270847	0.000588319	0.000257934	0.000287125	0.001274382	0.001028202	0.000316733	0.001146522	0.000326381	0.000311926	0.000360657	0.000451997	0.000389244	0.000560071	0.000590797	0.000265814
CTLA4	0.000147293	8.67E-05	2.83E-05	4.53E-05	3.56E-05	1.36E-05	0.000234911	3.31E-05	0.000119641	0.00070705	0.00011034	1.75E-05	0.000174155	4.58E-06	2.64E-05	9.70E-05	6.58E-05	0.001808159	8.57E-05
CTNNA1	0.002299264	0.004260218	0.006075871	0.000332177	0.000685304	0.000394829	0.00061074	0.004295172	0.003023985	0.000293504	0.004440621	0.000418017	0.00060705	0.000793797	0.000491842	0.000396755	0.00187432	0	0.000711401
CTNNB1	0.013021805	0.012539038	0.021909511	0.00481634	0.005248635	0.004415705	0.006075296	0.008234355	0.003305109	0.003347052	0.009585849	0.005005567	0.008163747	0.010056517	0.009918169	0.004603635	0.004483582	0.003749469	0.005634591
CUL3	0.000227572	0.001036512	0.000595488	0.000114027	0.000118481	8.49E-05	8.19E-05	0.000325169	0.000209539	3.13E-05	0.00039982	0.000165378	0.000153284	7.38E-05	0.000178014	5.82E-05	0.000367146	7.45E-07	8.94E-05
CXCR4	0.001102198	0.001115484	0.004864043	0.001858556	0.000115059	0.00090954	0.00172783	0.001011512	0.002949627	0.004605079	0.00094432	0.000822358	0.003129988	0.000350913	0.000651997	0.001362641	0.002495908	0.00653535	0.002466559
CYLD	0.000226274	0.000423414	0.000367516	4.79E-05	3.80E-05	1.24E-05	1.16E-05	0.000287971	0.000211779	7.84E-06	0.000455431	3.36E-05	4.61E-05	4.50E-06	1.91E-05	9.04E-05	0.000268943	0	2.35E-05
CYP19A1	6.39E-06	2.79E-06	2.48E-06	3.43E-06	6.14E-07	2.77E-06	5.90E-06	1.13E-05	1.22E-06	0.000146403	1.52E-06	5.50E-06	3.78E-06	7.50E-06	9.36E-06	2.05E-06	3.99E-06	5.80E-07	1.01E-06
CYP1B1	1.92E-05	3.32E-06	0.000264145	2.05E-05	1.12E-06	2.21E-05	9.11E-06	1.29E-05	2.32E-05	0.000166094	9.89E-06	4.99E-05	1.42E-05	2.12E-05	2.81E-05	1.60E-05	9.03E-05	0.00022886	7.36E-06
CYP2C19	4.88E-05	1.02E-05	4.53E-05	5.96E-05	4.14E-05	6.35E-05	1.57E-05	2.85E-06	3.26E-05	0.000222147	0.000287353	1.65E-05	3.57E-05	6.12E-05	5.64E-06	1.12E-05	1.04E-05	0.000224897	4.36E-05
CYP2C8	3.19E-05	1.56E-06	6.72E-07	6.45E-07	3.36E-07	8.99E-05	4.21E-06	3.30E-06	2.63E-06	0.000305955	2.69E-06	1.69E-07	1.11E-06	2.36E-06	5.64E-06	0	4.01E-06	0.000103041	4.37E-06
CYP2C9	2.52E-05	3.22E-06	8.17E-06	5.62E-06	1.36E-05	0.000401841	0.000132422	2.42E-06	2.34E-05	0.000223666	0.000113019	1.67E-06	6.70E-06	2.01E-05	5.77E-06	0	5.65E-06	0.000350663	1.66E-05
CYP2D6	0.000132628	1.78E-05	3.02E-05	6.05E-06	2.33E-05	4.99E-05	0.000202845	6.78E-05	7.22E-05	0.00030192	0.000100665	1.58E-05	9.54E-06	3.09E-05	1.13E-06	7.20E-06	1.37E-05	5.94E-05	3.60E-05
CYP3A4	9.72E-07	1.26E-07	1.26E-07	0	4.82E-08	8.37E-05	0.000281528	1.53E-07	8.31E-08	1.84E-06	6.24E-05	1.15E-07	1.10E-06	2.96E-07	7.38E-08	0	4.48E-06	0	4.87E-07
DAXX	0.002019916	0.001415357	0.001120009	8.36E-05	0.000164308	0.000112116	0.000214824	0.001180042	0.000866817	0.000437358	0.000981517	0.000120549	0.000139647	0.000182797	0.000230625	7.23E-05	0.000427605	1.26E-05	0.000176093
DCUN1D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR2	0.000873689	0.000639108	0.004391812	0.001059741	0.000157206	0.00015716	0.000307117	0.001012465	0.000923273	0.000621804	0.000532314	0.000838793	0.002574465	0.000165573	0.000196958	0.001398419	0.000585525	0.000942659	0.001666532
DHFR	2.95E-05	4.40E-05	3.02E-05	0.000153763	9.35E-05	5.69E-05	3.43E-05	9.22E-05	2.48E-05	0.000189735	3.33E-05	0.000106539	3.87E-05	6.89E-05	3.88E-05	0.00013128	3.29E-05	0.000883916	4.63E-05
DICER1	0.000366231	0.000737572	0.00045652	0.000147562	0.000155743	0.000100897	0.000160513	0.000383721	0.000332494	0.000135649	0.000370061	0.000117626	0.000219554	8.35E-05	0.000200758	0.000131597	0.000317826	4.17E-05	0.000132726
DIS3	0.000374838	0.000582419	0.00033215	0.00015552	0.000108836	5.84E-05	4.88E-05	0.000247667	0.000184972	4.56E-05	0.000326831	0.000165216	0.000126172	7.86E-05	0.00025874	0.000152228	0.000277827	0	5.16E-05
DNAJB1	0.001607066	0.001194612	0.001496784	0.000936957	0.001893052	0.001793513	0.001068767	0.002286724	0.0015053	0.000928134	0.000749865	0.000909368	0.000763614	0.001091197	0.002056447	0.001157485	0.000370198	0.00113757	0.000937306
DNM2	0.007851147	0.005768145	0.011781757	0.000315742	0.00115615	0.000620384	0.001738198	0.005124202	0.007376743	0.000819929	0.006487008	0.000387538	0.000721331	0.000963961	0.000863605	0.000821203	0.002006593	2.91E-05	0.001161514
