geneid	chr	left	right
HIST1H3H	chr6	27777842	27778314
HIST1H3I	chr6	27839623	27840099
HIST1H3J	chr6	27858093	27858570
HIST2H3D	chr1	149784780	149785236
HIST3H3	chr1	228612546	228613026
HLA-A	chr6	29910247	29913661
HNF1A	chr12	121416549	121440315
HOXB13	chr17	46802125	46806111
HRAS	chr11	532242	535550
HSD17B3	chr9	98997589	99064434
HSD3B1	chr1	120049826	120057681
HSD3B2	chr1	119957554	119965662
ICOSLG	chr21	45646721	45660834
ID3	chr1	23884409	23886322
IDH1	chr2	209100953	209119806
IDH2	chr15	90627210	90645708
IFNGR1	chr6	137518621	137540567
IGF1	chr12	102789645	102874378
IGF1R	chr15	99192761	99507759
IGF2	chr11	2150347	2170833
IKBKE	chr1	206643586	206670223
IKZF1	chr7	50344378	50367358
IL10	chr1	206940948	206945839
IL7R	chr5	35856991	35876924
INHA	chr2	220436954	220440435
INHBA	chr7	41728601	41742706
INPP4A	chr2	99061321	99207496
INPP4B	chr4	142949181	143767604
INSR	chr19	7112266	7294011
IRF2	chr4	185308876	185395726
IRF4	chr6	391739	411443
IRS1	chr2	227596033	227663506
IRS2	chr13	110406184	110438914
JAK1	chr1	65298906	65432187
JAK2	chr9	4985245	5128183
JAK3	chr19	17935591	17958841
JUN	chr1	59246463	59249785
KCNJ5	chr11	128761313	128787964
KDM5A	chr12	389223	498620
KDM5C	chrX	53220503	53254604
KDM6A	chrX	44732423	44971847
KDR	chr4	55944426	55991762
KEAP1	chr19	10596796	10614054
KEL	chr7	142638201	142659503
KIF1B	chr1	10270764	10441661
KIT	chr4	55524095	55606881
KLF4	chr9	110247133	110252047
KLHL6	chr3	183205319	183273499
KRAS	chr12	25358180	25403854
LATS1	chr6	149982051	150039392
LATS2	chr13	21547175	21635722
LMO1	chr11	8245857	8285406
LRP1B	chr2	140988996	142889270
LYN	chr8	56792386	56923940
LZTR1	chr22	21336558	21353326
MAGI2	chr7	77646374	79082890
MALT1	chr18	56338618	56417370
MAP2K1	chr15	66679211	66783882
MAP2K2	chr19	4090319	4124126
MAP2K4	chr17	11924135	12047051
MAP3K1	chr5	56110900	56191979
MAP3K13	chr3	185000729	185206882
MAP3K14	chr17	43340488	43394414
MAPK1	chr22	22113946	22221970
MAPK3	chr16	30125426	30134630
MAX	chr14	65472892	65569227
MCL1	chr1	150547027	150552214
MDC1	chr6	30667584	30685458
MDM2	chr12	69201971	69239212
MDM4	chr1	204485507	204527248
MED12	chrX	70338406	70362304
MEF2B	chr19	19256376	19281098
MEN1	chr11	64570986	64578766
MET	chr7	116312459	116438440
MGA	chr15	41952610	42062141
MITF	chr3	69788586	70017488
MLH1	chr3	37034841	37092337
MLH3	chr14	75480467	75518235
MMP2	chr16	55513081	55540586
MPL	chr1	43803475	43820135
MSH2	chr2	47630263	47710360
MSH3	chr5	79950294	80172634
MSH6	chr2	48010221	48034092
MSR1	chr8	15965387	16050300
MST1	chr3	49721380	49726196
MST1R	chr3	49924435	49941306
MTHFR	chr1	11845787	11866160
MTOR	chr1	11166588	11322608
MUC16	chr19	8959520	9092018
MUTYH	chr1	45794914	45806142
MYC	chr8	128748315	128753680
MYCN	chr2	16080683	16087129
MYD88	chr3	38179969	38184513
MYOD1	chr11	17741110	17743678
NBN	chr8	90945564	90996899
NCOA3	chr20	46130601	46285621
NCOR1	chr17	15933408	16118874
NEGR1	chr1	71868625	72748277
NF1	chr17	29421945	29704695
NF2	chr22	29999545	30094589
NFE2L2	chr2	178095033	178129859
NFKBIA	chr14	35870716	35873960
NKX2-1	chr14	36985602	36989430
NKX3-1	chr8	23536206	23540450
NOTCH1	chr9	139388896	139440238
NOTCH2	chr1	120454176	120612317
NOTCH3	chr19	15270444	15311792
NOTCH4	chr6	32162620	32191844
NPM1	chr5	170814708	170837888
NQO1	chr16	69743304	69760533
NRAS	chr1	115247085	115259515
NRG1	chr8	31496820	32622558
NSD1	chr5	176560080	176727214
NTRK1	chr1	156785542	156851642
NTRK2	chr9	87283466	87638505
NTRK3	chr15	88419988	88799661
NUP93	chr16	56764017	56878862
PAK1	chr11	77033060	77185108
PAK3	chrX	110187513	110464173
PALB2	chr16	23614483	23652678
PARK2	chr6	161768590	163148834
PARP1	chr1	226548392	226595801
PAX5	chr9	36838531	37034476
PBRM1	chr3	52579368	52719866
PDCD1	chr2	242792033	242801058
PDCD1LG2	chr9	5510545	5571282
PDGFRA	chr4	55095264	55164412
PDGFRB	chr5	149493402	149535422
PDK1	chr2	173420779	173463862
PDPK1	chr16	2587970	2653189
PGR	chr11	100900355	101000544
PHOX2B	chr4	41746099	41750987
PIK3C2B	chr1	204391758	204459474
PIK3C2G	chr12	18414474	18801352
PIK3C3	chr18	39535199	39661448
PIK3CA	chr3	178866311	178952500
PIK3CB	chr3	138374231	138478185
PIK3CD	chr1	9711790	9789172
PIK3CG	chr7	106505924	106547592
PIK3R1	chr5	67511584	67597649
PIK3R2	chr19	18264016	18281343
PIK3R3	chr1	46505812	46598708
PIM1	chr6	37137922	37143204
PLCG2	chr16	81812930	81991899
PLK2	chr5	57749809	57755913
PMAIP1	chr18	57567192	57571538
PMS1	chr2	190648811	190742355
PMS2	chr7	6012870	6048737
PNRC1	chr6	89790429	89794879
POLD1	chr19	50887593	50921271
POLE	chr12	133200348	133263945
PPM1D	chr17	58677544	58743641
PPP2R1A	chr19	52693055	52729678
PPP6C	chr9	127908852	127952218
PRDM1	chr6	106534195	106557814
PREX2	chr8	68864603	69143897
PRKAR1A	chr17	66508110	66528911
PRKCI	chr3	169940220	170023770
PRKDC	chr8	48685669	48872743
PRSS1	chr7	142457319	142460927
PRSS8	chr16	31142754	31147151
PSMD4	chr1	151227197	151239955
PTCH1	chr9	98205264	98279247
PTEN	chr10	89623195	89728532
PTPN11	chr12	112856536	112947717
PTPRD	chr9	8314246	10612723
PTPRS	chr19	5205519	5340814
PTPRT	chr20	40701392	41818557
QKI	chr6	163835675	163999628
RAB35	chr12	120532899	120554643
RAC1	chr7	6414126	6443598
RAD21	chr8	117858173	117887105
RAD50	chr5	131892616	131980313
RAD51	chr15	40987327	41024356
RAD51C	chr17	56769963	56811692
RAD52	chr12	1021255	1058863
RAD54L	chr1	46713367	46744145
RAF1	chr3	12625100	12705700
RANBP2	chr2	109335937	109402267
RARA	chr17	38465423	38513895
RASA1	chr5	86564151	86687733
RB1	chr13	48877883	49056026
RBM10	chrX	47004617	47046214
RECQL4	chr8	145736667	145743210
REL	chr2	61108752	61150178
RET	chr10	43572517	43625799
RFWD2	chr1	175913967	176176370
RHEB	chr7	151163098	151217010
RHOA	chr3	49396578	49449526
RICTOR	chr5	38938022	39074501
RIT1	chr1	155867601	155881177
RNASEL	chr1	182542769	182558394
RNF43	chr17	56431037	56494931
ROS1	chr6	117609530	117747018
RPS6KA4	chr11	64126625	64139687
RPS6KB2	chr11	67195935	67202879
RPTOR	chr17	78518625	78940173
RRM1	chr11	4115924	4160106
RUNX1	chr21	36160098	36421595
RUNX1T1	chr8	92967195	93115454
RYBP	chr3	72423744	72495774
RYR2	chr1	237205702	237997288
SDHA	chr5	218356	256815
SDHAF2	chr11	61197597	61214239
SDHB	chr1	17345217	17380665
SDHC	chr1	161284166	161334541
SDHD	chr11	111957571	111966518
SETD2	chr3	47057898	47205467
SF3B1	chr2	198256698	198299771
SH2B3	chr12	111843752	111889427
SH2D1A	chrX	123480132	123507010
SHQ1	chr3	72798428	72897598
SLC28A3	chr9	86890765	86983413
SLIT1	chr10	98757795	98945683
SLIT2	chr4	20255235	20620788
SMAD2	chr18	45359466	45457515
SMAD3	chr15	67358195	67487533
SMAD4	chr18	48556583	48611412
SMARCA4	chr19	11071598	11172958
SMARCB1	chr22	24129150	24176705
SMARCD1	chr12	50478983	50494494
SMO	chr7	128828713	128853386
SNCAIP	chr5	121647820	121799794
SOCS1	chr16	11348274	11350039
SOD2	chr6	160100148	160114353
SOX17	chr8	55370495	55373456
SOX2	chr3	181429712	181432224
SOX9	chr17	70117161	70122561
SPEN	chr1	16174359	16266950
SPINK1	chr5	147204143	147211260
SPOP	chr17	47676246	47755525
SPTA1	chr1	158580496	158656506
SRC	chr20	35973088	36033821
SRD5A2	chr2	31749656	31806040
STAG2	chrX	123094475	123236506
STAT3	chr17	40465343	40540513
STAT5A	chr17	40439565	40463961
STAT5B	chr17	40351195	40428424
STK11	chr19	1205798	1228434
STK40	chr1	36805225	36851485
SUFU	chr10	104263719	104393214
SUZ12	chr17	30264044	30328057
SYK	chr9	93564012	93660842
SYNE1	chr6	152442819	152958534
TAF1	chrX	70586114	70685855
TBX3	chr12	115108059	115121969
TCF3	chr19	1609292	1652326
TCF7L2	chr10	114710009	114927437
TERT	chr5	1253282	1295162
TET1	chr10	70320117	70454239
TET2	chr4	106067032	106200960
TGFBR1	chr9	101867412	101916474
TGFBR2	chr3	30647994	30735634
TMEM127	chr2	96915946	96931751
TMPRSS2	chr21	42836478	42880085
TNFAIP3	chr6	138188581	138204449
TNFRSF14	chr1	2487805	2495268
TOP1	chr20	39657462	39753127
TOP2A	chr17	38544773	38574202
TP53	chr17	7571720	7590863
TP63	chr3	189349216	189615068
TRAF7	chr16	2205799	2228130
TSC1	chr9	135766735	135820020
TSC2	chr16	2097990	2138713
TSHR	chr14	81421869	81612646
TTN	chr2	179390716	179672150
TYMS	chr18	657604	673499
U2AF1	chr21	44513066	44527688
UGT1A1	chr2	234668919	234681945
UGT1A9	chr2	234580544	234681951
UMPS	chr3	124449213	124468120
VEGFA	chr6	43737946	43754224
VHL	chr3	10183319	10195354
VTCN1	chr1	117686209	117753549
WISP3	chr6	112375278	112390889
WT1	chr11	32409321	32457081
XIAP	chrX	122993662	123047829
XPC	chr3	14186647	14220172
XRCC1	chr19	44047464	44079730
XRCC2	chr7	152343583	152373250
YAP1	chr11	101981192	102104154
YES1	chr18	721592	812327
ZBTB2	chr6	151685250	151712677
ZFHX3	chr16	72816784	73092534
ZNF217	chr20	52183610	52199636
ZNF703	chr8	37553301	37556396
ZRSR2	chrX	15808574	15841383
